species,year,iucn_global,class
Sphyrna mokarran,2009,EN,old
Pseudobatos horkelii,2012,CR,old
Pseudobatos percellens,2012,NT,old
Zapteryx brevirostris,2012,VU,old
Carcharhinus brachyurus,2013,NT,old
Carcharhinus falciformis,2013,NT,old
Carcharhinus plumbeus,2013,VU,old
Pristis pristis,2013,CR,old
Dasyatis hypostigma,2015,DD,old
Hypanus americanus,2015,DD,old
Hypanus guttatus,2015,DD,old
Sphyrna lewini,2015,EN,old
Carcharhinus plumbeus,2017,VU,old
Prionace glauca,2017,NT,old
Rhizoprionodon lalandii,2017,DD,old
Sphyrna lewini,2017,EN,old
Carcharhinus acronotus,2018,NT,old
Carcharhinus brachyurus,2018,NT,old
Carcharhinus falciformis,2018,NT,old
Carcharhinus leucas,2018,NT,old
Carcharhinus limbatus,2018,NT,old
Carcharhinus porosus,2018,DD,old
Galeocerdo cuvier,2018,NT,old
Galeorhinus galeus,2018,VU,old
Ginglymostoma cirratum,2018,DD,old
Gymnura altavela,2018,VU,old
Isogomphodon oxyrhynchus,2018,CR,old
Mustelus canis,2018,NT,old
Mustelus higmani,2018,LC,old
Myliobatis goodei,2018,DD,old
Narcine brasiliensis,2018,DD,old
Prionace glauca,2018,NT,old
Pseudobatos horkelii,2018,CR,old
Rhizoprionodon lalandii,2018,DD,old
Rhizoprionodon porosus,2018,LC,old
Sphyrna lewini,2018,EN,old
Sphyrna mokarran,2018,EN,old
Sphyrna tiburo,2018,LC,old
Sphyrna tudes,2018,VU,old
Sphyrna zygaena,2018,VU,old
Squalus cubensis,2018,DD,old
Squalus mitsukurii,2018,DD,old
Squatina guggenheim,2018,EN,old
Squatina occulta,2018,EN,old
Zapteryx brevirostris,2018,VU,old
Aetobatus narinari,2019,NT,old
Alopias superciliosus,2019,VU,old
Atlantoraja castelnaui,2019,EN,old
Bathytoshia centroura,2019,LC,old
Carcharhinus acronotus,2019,NT,old
Carcharhinus brachyurus,2019,NT,old
Carcharhinus brevipinna,2019,NT,old
Carcharhinus falciformis,2019,VU,old
Carcharhinus leucas,2019,NT,old
Carcharhinus limbatus,2019,NT,old
Carcharhinus obscurus,2019,VU,old
Carcharhinus perezi,2019,NT,old
Carcharhinus porosus,2019,DD,old
Carcharhinus signatus,2019,VU,old
Carcharias taurus,2019,VU,old
Centrophorus squamosus,2019,VU,old
Galeocerdo cuvier,2019,NT,old
Gymnura altavela,2019,VU,old
Hypanus americanus,2019,DD,old
Hypanus americanus,2019,DD,old
Hypanus guttatus,2019,DD,old
Isurus oxyrinchus,2019,VU,old
Isurus paucus,2019,VU,old
Mobula thurstoni,2019,NT,old
Myliobatis freminvillei,2019,DD,old
Myliobatis goodei,2019,DD,old
Narcine brasiliensis,2019,DD,old
Pseudobatos horkelii,2019,CR,old
Pseudobatos percellens,2019,NT,old
Rhinoptera bonasus,2019,DD,old
Rhinoptera brasiliensis,2019,EN,old
Rhizoprionodon lalandii,2019,DD,old
Rhizoprionodon porosus,2019,LC,old
Rioraja agassizii,2019,VU,old
Sphyrna lewini,2019,EN,old
Sphyrna mokarran,2019,EN,old
Sphyrna tiburo,2019,LC,old
Sphyrna tudes,2019,VU,old
Sphyrna zygaena,2019,VU,old
Squatina guggenheim,2019,EN,old
Aetobatus narinari,2020,NT,old
Carcharhinus acronotus,2020,NT,old
Carcharhinus falciformis,2020,VU,old
Carcharhinus leucas,2020,NT,old
Carcharhinus porosus,2020,DD,old
Fontitrygon geijskesi,2020,NT,old
Galeocerdo cuvier,2020,NT,old
Gymnura altavela,2020,VU,old
Gymnura micrura,2020,DD,old
Hypanus americanus,2020,DD,old
Hypanus dipterurus,2020,DD,old
Hypanus guttatus,2020,DD,old
Mustelus canis,2020,NT,old
Mustelus higmani,2020,LC,old
Narcine brasiliensis,2020,DD,old
Paratrygon aiereba,2020,DD,old
Potamotrygon motoro,2020,DD,old
Pristis pristis,2020,CR,old
Pseudobatos horkelii,2020,CR,old
Pseudobatos percellens,2020,NT,old
Rhinoptera bonasus,2020,NT,old
Rhinoptera brasiliensis,2020,EN,old
Rhizoprionodon lalandii,2020,DD,old
Rhizoprionodon porosus,2020,LC,old
Rhizoprionodon terraenovae,2020,LC,old
Sphyrna lewini,2020,CR,old
Sphyrna mokarran,2020,EN,old
Sphyrna tiburo,2020,LC,old
Sphyrna tudes,2020,VU,old
Aetobatus narinari,2021,NT,old
Atlantoraja castelnaui,2021,CR,old
Atlantoraja cyclophora,2021,EN,old
Carcharhinus acronotus,2021,NT,old
Carcharhinus brevipinna,2021,VU,old
Carcharhinus falciformis,2021,VU,old
Carcharhinus leucas,2021,NT,old
Carcharhinus limbatus,2021,NT,old
Carcharhinus plumbeus,2021,VU,old
Carcharhinus porosus,2021,CR,old
Carcharhinus signatus,2021,VU,old
Dasyatis hypostigma,2021,EN,old
Fontitrygon geijskesi,2021,CR,old
Galeocerdo cuvier,2021,NT,old
Ginglymostoma cirratum,2021,NT,old
Gymnura altavela,2021,VU,old
Gymnura micrura,2021,DD,old
Hypanus berthalutzae,2021,VU,old
Hypanus guttatus,2021,NT,old
Isurus oxyrinchus,2021,VU,old
Isurus paucus,2021,EN,old
Myliobatis goodei,2021,DD,old
Prionace glauca,2021,NT,old
Pseudobatos horkelii,2021,CR,old
Pseudobatos percellens,2021,EN,old
Rhinoptera bonasus,2021,VU,old
Rhinoptera brasiliensis,2021,VU,old
Rhizoprionodon lalandii,2021,DD,old
Rhizoprionodon porosus,2021,LC,old
Rioraja agassizii,2021,VU,old
Sphyrna lewini,2021,CR,old
Sphyrna mokarran,2021,CR,old
Sphyrna tiburo,2021,EN,old
Sphyrna tudes,2021,CR,old
Sphyrna zygaena,2021,VU,old
Squalus cubensis,2021,LC,old
Squalus mitsukurii,2021,DD,old
Squatina guggenheim,2021,EN,old
Squatina guggenheim,2021,EN,old
Squatina occulta,2021,CR,old
Styracura schmardae,2021,EN,old
Aetobatus narinari,2022,EN,updated
Alopias superciliosus,2022,VU,updated
Atlantoraja castelnaui,2022,CR,updated
Atlantoraja cyclophora,2022,EN,updated
Bathytoshia centroura,2022,VU,updated
Benthobatis kreffti,2022,VU,updated
Carcharhinus acronotus,2022,EN,updated
Carcharhinus brachyurus,2022,VU,updated
Carcharhinus brevipinna,2022,VU,updated
Carcharhinus falciformis,2022,VU,updated
Carcharhinus leucas,2022,VU,updated
Carcharhinus limbatus,2022,VU,updated
Carcharhinus obscurus,2022,EN,updated
Carcharhinus perezi,2022,EN,updated
Carcharhinus plumbeus,2022,EN,updated
Carcharhinus porosus,2022,CR,updated
Carcharhinus signatus,2022,EN,updated
Carcharias taurus,2022,CR,updated
Carcharodon carcharias,2022,VU,updated
Centrophorus squamosus,2022,EN,updated
Dasyatis hypostigma,2022,EN,updated
Fontitrygon geijskesi,2022,CR,updated
Galeocerdo cuvier,2022,NT,updated
Galeorhinus galeus,2022,CR,updated
Ginglymostoma cirratum,2022,VU,updated
Gymnura altavela,2022,EN,updated
Gymnura micrura,2022,NT,updated
Hypanus americanus,2022,NT,updated
Hypanus berthalutzae,2022,VU,updated
Hypanus dipterurus,2022,VU,updated
Hypanus guttatus,2022,NT,updated
Isogomphodon oxyrhynchus,2022,CR,updated
Isurus oxyrinchus,2022,EN,updated
Isurus paucus,2022,EN,updated
Mobula thurstoni,2022,EN,updated
Mustelus canis,2022,NT,updated
Mustelus higmani,2022,EN,updated
Myliobatis freminvillei,2022,VU,updated
Myliobatis goodei,2022,VU,updated
Narcine brasiliensis,2022,NT,updated
Paratrygon aiereba,2022,DD,updated
Potamotrygon motoro,2022,DD,updated
Prionace glauca,2022,NT,updated
Pristis pristis,2022,CR,updated
Pseudobatos horkelii,2022,CR,updated
Pseudobatos percellens,2022,EN,updated
Rhinoptera bonasus,2022,VU,updated
Rhinoptera brasiliensis,2022,VU,updated
Rhizoprionodon lalandii,2022,VU,updated
Rhizoprionodon porosus,2022,VU,updated
Rhizoprionodon terraenovae,2022,LC,updated
Rioraja agassizii,2022,VU,updated
Sphyrna lewini,2022,CR,updated
Sphyrna mokarran,2022,CR,updated
Sphyrna tiburo,2022,EN,updated
Sphyrna tudes,2022,CR,updated
Sphyrna zygaena,2022,VU,updated
Squalus cubensis,2022,LC,updated
Squalus mitsukurii,2022,EN,updated
Squatina guggenheim,2022,EN,updated
Squatina occulta,2022,CR,updated
Styracura schmardae,2022,EN,updated
Zapteryx brevirostris,2022,EN,updated
